String#,Note,Octave,Color,Material,Length_in,Length_mm,Frequency_Hz,Diameter_mm,Pin_Spacing_in,Stress_MPa,Load_kg,Load_lbs,Pct_Breaking,T_over_L,Pin_X_in
1,G,0,white,Nylon,2.3942,60.81,3135.96,0.46,0.706,155.2,2.63,5.8,50.6,4.33,10.000
2,F,0,blue,Nylon,2.7869,70.79,2793.83,0.48,0.706,166.9,3.08,6.8,54.4,4.35,10.706
3,E,1,white,Nylon,3.1692,80.50,2637.02,0.50,0.707,192.3,3.85,8.5,62.6,4.78,11.412
4,D,1,white,Nylon,3.5536,90.26,2349.32,0.52,0.706,191.9,4.16,9.2,62.5,4.61,12.119
5,C,1,red,Nylon,3.9517,100.37,2093.00,0.54,0.706,188.4,4.40,9.7,61.4,4.38,12.825
6,B,1,white,Nylon,4.3694,110.98,1975.53,0.56,0.706,205.2,5.15,11.4,66.8,4.64,13.531
7,A,1,white,Nylon,4.8131,122.25,1760.00,0.58,0.706,197.6,5.32,11.7,64.4,4.36,14.237
8,G,1,white,Gut,5.2852,134.24,1567.98,0.60,0.707,230.4,6.64,14.7,64.4,4.95,14.943
9,F,1,blue,Gut,5.7862,146.97,1396.91,0.66,0.706,219.2,7.65,16.9,61.2,5.20,15.650
10,E,2,white,Gut,6.3188,160.50,1318.51,0.72,0.706,232.9,9.67,21.3,65.0,6.03,16.356
11,D,2,white,Gut,6.8812,174.78,1174.66,0.77,0.706,219.2,10.41,23.0,61.2,5.96,17.062
12,C,2,red,Gut,7.4755,189.88,1046.50,0.83,0.686,205.3,11.33,25.0,57.4,5.97,17.768
13,B,2,white,Gut,8.1013,205.77,987.77,0.89,0.686,214.8,13.63,30.1,60.0,6.62,18.454
14,A,2,white,Gut,8.7587,222.47,880.00,0.95,0.686,199.3,14.41,31.8,55.7,6.48,19.140
15,G,2,white,Gut,9.4524,240.09,783.99,1.01,0.686,184.2,15.06,33.2,51.5,6.27,19.826
16,F,2,blue,Gut,10.2416,260.14,698.46,1.06,0.646,171.7,15.45,34.1,48.0,5.94,20.512
17,E,3,white,Gut,10.7960,274.22,659.26,1.12,0.646,169.9,17.08,37.7,47.5,6.23,21.158
18,D,3,white,Gut,11.9721,304.09,587.33,1.18,0.645,165.9,18.50,40.8,46.3,6.08,21.804
19,C,3,red,Gut,12.9256,328.31,523.25,1.24,0.606,153.5,18.90,41.7,42.9,5.76,22.449
20,B,3,white,Gut,13.9474,354.26,493.88,1.30,0.605,159.2,21.55,47.5,44.5,6.08,23.055
21,A,3,white,Gut,15.0457,382.16,440.00,1.35,0.605,147.0,21.47,47.3,41.1,5.62,23.660
22,G,3,white,Gut,16.2291,412.22,392.00,1.41,0.606,135.8,21.63,47.7,37.9,5.25,24.265
23,F,3,blue,Gut,17.6013,447.07,349.23,1.47,0.605,126.8,21.94,48.4,35.4,4.91,24.871
24,E,4,white,Gut,19.0939,484.99,329.63,1.53,0.605,132.9,24.92,55.0,37.1,5.14,25.476
25,D,4,white,Gut,20.7197,526.28,293.66,1.59,0.605,124.2,25.15,55.5,34.7,4.78,26.081
26,C,4,red,Gut,22.4939,571.35,261.63,1.64,0.565,116.2,25.04,55.2,32.5,4.38,26.686
27,B,4,white,Gut,24.4191,620.25,246.94,1.70,0.565,122.0,28.24,62.3,34.1,4.55,27.251
28,A,4,white,Gut,26.4986,673.06,220.00,1.76,0.565,114.0,28.29,62.4,31.8,4.20,27.816
29,G,4,white,Gut,28.7241,729.59,196.00,1.82,0.565,106.3,28.22,62.2,29.7,3.87,28.381
30,F,4,blue,Gut,31.2177,792.93,174.61,1.88,0.565,99.7,28.22,62.2,27.8,3.56,28.946
31,E,5,white,Gut,33.7892,858.25,164.81,1.93,0.565,104.0,31.05,68.5,29.1,3.62,29.511
32,D,5,white,Gut,36.3672,923.73,146.83,1.99,0.565,95.7,30.35,66.9,26.7,3.29,30.076
33,C,5,red,Gut,39.0399,991.61,130.81,2.05,0.525,87.5,29.46,64.9,24.4,2.97,30.641
34,B,5,white,Wire,41.5922,1056.44,123.47,1.00,0.524,532.9,42.69,94.1,23.8,4.04,31.166
35,A,5,white,Wire,44.0118,1117.90,110.00,1.06,0.525,473.6,42.63,94.0,21.1,3.81,31.690
36,G,5,white,Wire,46.3282,1176.74,98.00,1.12,0.525,416.5,41.86,92.3,18.6,3.56,32.215
37,F,5,blue,Wire,48.1801,1223.77,87.31,1.18,0.524,357.6,39.88,87.9,16.0,3.26,32.740
38,E,6,white,Wire,49.0559,1246.02,82.41,1.25,0.525,330.2,41.34,91.1,14.7,3.32,33.264
39,D,6,white,Wire,50.3820,1279.70,73.42,1.31,0.524,276.5,38.01,83.8,12.3,2.97,33.789
40,C,6,red,Wire,51.8946,1318.12,65.41,1.37,0.525,232.8,35.01,77.2,10.4,2.66,34.313
41,B,6,white,Wire,53.1225,1349.31,61.74,1.43,0.525,217.4,35.61,78.5,9.7,2.64,34.838
42,A,6,white,Wire,54.2660,1378.36,55.00,1.49,0.524,180.0,32.01,70.6,8.0,2.32,35.363
43,G,6,white,Wire,55.4580,1408.63,49.00,1.55,0.525,149.2,28.72,63.3,6.7,2.04,35.887
44,F,6,blue,Wire,56.6390,1438.63,43.65,1.62,0.524,123.5,25.97,57.3,5.5,1.80,36.412
45,E,7,white,Wire,57.6990,1465.55,41.20,1.68,0.525,114.2,25.82,56.9,5.1,1.76,36.936
46,D,7,white,Wire,58.6226,1489.01,36.71,1.74,0.525,93.6,22.70,50.0,4.2,1.52,37.461
47,C,7,red,Wire,59.6486,1515.07,32.70,1.80,,76.9,19.95,44.0,3.4,1.32,37.986

TOTAL,,,,,,,,,,,1025.1,2260,,,
